date,eid,cid,rate
2022-04-06 07:00:00,4,DOT,21.184
2022-04-06 07:00:00,5,DOT,21.165
2022-04-06 08:00:00,1,BTC,44817.89
2022-04-06 08:00:00,2,BTC,44807.74
2022-04-06 08:00:00,3,BTC,44821.39
2022-04-06 08:00:00,4,BTC,44825
2022-04-06 08:00:00,5,BTC,44827
2022-04-06 08:00:00,1,ETH,3306.18
2022-04-06 08:00:00,2,ETH,3303.85
2022-04-06 08:00:00,3,ETH,3305.99
2022-04-06 08:00:00,4,ETH,3303.17
2022-04-06 08:00:00,5,ETH,3306
2022-04-06 08:00:00,1,LTC,118.7
2022-04-06 08:00:00,2,LTC,118.65
2022-04-06 08:00:00,3,LTC,118.72
2022-04-06 08:00:00,4,LTC,118.65
2022-04-06 08:00:00,5,LTC,118.755
2022-04-06 08:00:00,1,LUNA,112.31
2022-04-06 08:00:00,2,LUNA,112.29
2022-04-06 08:00:00,3,LUNA,112.2085
2022-04-06 08:00:00,4,LUNA,112.25
2022-04-06 08:00:00,5,LUNA,112.32
2022-04-06 08:00:00,1,ADA,1.116
2022-04-06 08:00:00,2,ADA,1.1109
2022-04-06 08:00:00,3,ADA,1.116582
2022-04-06 08:00:00,4,ADA,1.115424
2022-04-06 08:00:00,5,ADA,1.115695
2022-04-06 08:00:00,1,DOT,20.97
2022-04-06 08:00:00,2,DOT,20.92
2022-04-06 08:00:00,3,DOT,20.9567
2022-04-06 08:00:00,4,DOT,20.9274
2022-04-06 08:00:00,5,DOT,20.974
2022-04-06 09:00:00,1,BTC,44733.65
2022-04-06 09:00:00,2,BTC,44811.06
2022-04-06 09:00:00,3,BTC,44736.3
2022-04-06 09:00:00,4,BTC,44749.1
2022-04-06 09:00:00,5,BTC,44746
2022-04-06 09:00:00,1,ETH,3304.59
2022-04-06 09:00:00,2,ETH,3310.65
2022-04-06 09:00:00,3,ETH,3304.41
2022-04-06 09:00:00,4,ETH,3305.72
2022-04-06 09:00:00,5,ETH,3304.4
2022-04-06 09:00:00,1,LTC,118.2
2022-04-06 09:00:00,2,LTC,118.45
2022-04-06 09:00:00,3,LTC,118.22
2022-04-06 09:00:00,4,LTC,118.23
2022-04-06 09:00:00,5,LTC,118.17
2022-04-06 09:00:00,1,LUNA,111.2
2022-04-06 09:00:00,2,LUNA,111.06
2022-04-06 09:00:00,3,LUNA,111.1953
2022-04-06 09:00:00,4,LUNA,111.12
